session,participant_code,participant_label,uid,choice,Payout_High,Payout_Middle,Payout_Low,Left_High,Left_Middle,Left_Low,Right_High,Right_Middle,Right_Low,Page_Time,Time_Started_UTC,Survey_ID
wysgu655,47p8kcoe,LK57856,Q_68,A,$50,$20,$10,0.8,0.2,0.0,,,,1.9231593608856201,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_68,A,$50,$20,$10,0.8,0.2,0.0,,,,2.518559694290161,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_17,A,$100,$50,$20,0.15,0.75,0.1,,,,1.2039947509765625,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_2,A,$100,$50,$20,0.3,0.1,0.6,,,,1.4388203620910645,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_39,A,$100,$50,$20,0.1,0.4,0.5,,,,1.0534393787384033,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_46,A,$250,$100,$50,0.05,0.55,0.4,,,,1.5143592357635498,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_16,A,$100,$50,$20,0.65,0.3,0.05,,,,1.2959990501403809,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_5,A,$100,$50,$20,0.7,0.3,0.0,,,,1.4574434757232666,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_19,A,$100,$50,$20,0.6,0.0,0.4,,,,1.2539088726043701,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_62,A,$50,$20,$10,0.05,0.75,0.2,,,,2.031024932861328,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_57,B,$50,$20,$10,,,,0.0,1.0,0.0,1.7018423080444336,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_13,A,$100,$50,$20,0.9,0.0,0.1,,,,1.98828125,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_61,B,$50,$20,$10,,,,0.9,0.0,0.1,1.4872007369995117,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_34,A,$100,$50,$20,0.0,1.0,0.0,,,,1.6364707946777344,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_30,B,$100,$50,$20,,,,0.05,0.75,0.2,1.3111331462860107,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_40,B,$100,$50,$20,,,,0.25,0.7,0.05,1.5911188125610352,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_56,B,$100,$75,$20,,,,0.5,0.45,0.05,1.633512258529663,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_49,B,$100,$75,$20,,,,0.0,1.0,0.0,1.2860333919525146,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_36,A,$100,$50,$20,0.0,0.25,0.75,,,,1.367431640625,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_66,A,$250,$100,$50,0.0,0.3,0.7,,,,1.8615565299987793,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_15,B,$100,$50,$20,,,,0.5,0.15,0.35,1.7000911235809326,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_64,B,$50,$20,$10,,,,0.65,0.2,0.15,2.5130648612976074,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_18,A,$100,$50,$20,0.0,1.0,0.0,,,,1.4947807788848877,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_33,A,$100,$50,$20,0.0,1.0,0.0,,,,1.8985071182250977,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_45,B,$250,$100,$50,,,,0.9,0.0,0.1,1.6761960983276367,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_6,B,$100,$50,$20,,,,0.15,0.25,0.6,2.239283561706543,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_63,A,$50,$20,$10,0.3,0.15,0.55,,,,1.1794884204864502,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_8,A,$100,$50,$20,0.6,0.1,0.3,,,,3.4649553298950195,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_64,B,$50,$20,$10,,,,0.65,0.2,0.15,1.3315234184265137,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_9,A,$100,$50,$20,0.0,1.0,0.0,,,,1.190882682800293,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_10,A,$100,$50,$20,0.0,1.0,0.0,,,,1.3320884704589844,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_31,A,$100,$50,$20,0.35,0.15,0.5,,,,1.5766997337341309,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_2,B,$100,$50,$20,,,,0.0,1.0,0.0,1.3232035636901855,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_15,A,$100,$50,$20,0.35,0.45,0.2,,,,2.035757303237915,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_9,A,$100,$50,$20,0.0,1.0,0.0,,,,1.3970696926116943,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_28,A,$100,$50,$20,0.0,0.35,0.65,,,,1.1922307014465332,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_55,B,$100,$75,$20,,,,0.35,0.15,0.5,1.570406436920166,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_27,B,$100,$50,$20,,,,0.25,0.65,0.1,1.5995423793792725,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_6,A,$100,$50,$20,0.05,0.55,0.4,,,,1.3172106742858887,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_42,A,$250,$100,$50,0.5,0.0,0.5,,,,2.702620267868042,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_27,B,$100,$50,$20,,,,0.25,0.65,0.1,1.4747755527496338,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_45,A,$250,$100,$50,0.8,0.2,0.0,,,,1.4883897304534912,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_66,B,$250,$100,$50,,,,0.1,0.3,0.6,1.3009076118469238,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_67,A,$100,$75,$20,0.4,0.1,0.5,,,,1.3479740619659424,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_8,B,$100,$50,$20,,,,0.5,0.4,0.1,0.9231338500976562,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_4,A,$100,$50,$20,0.1,0.0,0.9,,,,1.3934099674224854,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_37,B,$100,$50,$20,,,,0.5,0.5,0.0,1.5970768928527832,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_43,A,$250,$100,$50,0.5,0.0,0.5,,,,1.4886481761932373,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_58,B,$50,$20,$10,,,,0.0,1.0,0.0,1.5846214294433594,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_57,A,$50,$20,$10,0.4,0.5,0.1,,,,1.3887348175048828,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_26,A,$100,$50,$20,0.5,0.3,0.2,,,,1.1600041389465332,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_50,B,$100,$75,$20,,,,0.0,1.0,0.0,1.6176750659942627,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_47,A,$250,$100,$50,0.5,0.15,0.35,,,,2.149496555328369,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_35,A,$100,$50,$20,0.8,0.0,0.2,,,,1.47770094871521,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_29,A,$100,$50,$20,0.65,0.35,0.0,,,,1.3801543712615967,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_65,A,$100,$50,$20,0.1,0.3,0.6,,,,2.0059540271759033,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_53,A,$100,$75,$20,0.65,0.35,0.0,,,,2.1512351036071777,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_61,A,$50,$20,$10,0.5,0.5,0.0,,,,1.9175398349761963,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_62,A,$50,$20,$10,0.05,0.75,0.2,,,,1.6692581176757812,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_44,A,$250,$100,$50,0.1,0.0,0.9,,,,1.836991310119629,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_67,A,$100,$75,$20,0.4,0.1,0.5,,,,1.1287577152252197,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_14,A,$100,$50,$20,0.25,0.15,0.6,,,,1.8236072063446045,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_14,A,$100,$50,$20,0.25,0.15,0.6,,,,1.7765212059020996,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_29,B,$100,$50,$20,,,,0.9,0.0,0.1,1.881223440170288,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_35,A,$100,$50,$20,0.8,0.0,0.2,,,,1.150723934173584,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_58,B,$50,$20,$10,,,,0.0,1.0,0.0,3.7665767669677734,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_4,A,$100,$50,$20,0.1,0.0,0.9,,,,1.4586050510406494,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_16,A,$100,$50,$20,0.65,0.3,0.05,,,,1.9306235313415527,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_42,B,$250,$100,$50,,,,0.0,1.0,0.0,1.4015769958496094,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_24,A,$100,$50,$20,0.4,0.55,0.05,,,,2.804226875305176,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_22,B,$100,$50,$20,,,,0.05,0.65,0.3,1.0438871383666992,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_32,B,$100,$50,$20,,,,0.75,0.1,0.15,1.9825522899627686,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_46,B,$250,$100,$50,,,,0.25,0.15,0.6,1.2905056476593018,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_55,A,$100,$75,$20,0.1,0.5,0.4,,,,2.0113296508789062,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_52,B,$100,$75,$20,,,,0.25,0.0,0.75,2.782101631164551,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_37,A,$100,$50,$20,0.9,0.0,0.1,,,,3.144688844680786,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_7,B,$100,$50,$20,,,,0.4,0.15,0.45,1.114039421081543,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_25,A,$100,$50,$20,0.0,1.0,0.0,,,,2.565675735473633,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_60,B,$50,$20,$10,,,,0.2,0.0,0.8,1.5262644290924072,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_12,A,$100,$50,$20,0.1,0.0,0.9,,,,2.04667067527771,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_25,A,$100,$50,$20,0.0,1.0,0.0,,,,1.7966408729553223,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_51,B,$100,$75,$20,,,,0.25,0.65,0.1,5.823298454284668,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_65,A,$100,$50,$20,0.1,0.3,0.6,,,,1.4055578708648682,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_59,A,$50,$20,$10,0.8,0.0,0.2,,,,2.071939468383789,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_32,A,$100,$50,$20,0.5,0.45,0.05,,,,1.4942209720611572,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_10,A,$100,$50,$20,0.0,1.0,0.0,,,,1.2339510917663574,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_21,A,$100,$50,$20,0.75,0.25,0.0,,,,1.1177396774291992,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_18,A,$100,$50,$20,0.0,1.0,0.0,,,,0.9720053672790527,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_38,A,$100,$50,$20,0.45,0.25,0.3,,,,1.4089324474334717,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_19,A,$100,$50,$20,0.6,0.0,0.4,,,,2.627331495285034,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_11,A,$100,$50,$20,0.5,0.0,0.5,,,,2.0621016025543213,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_36,B,$100,$50,$20,,,,0.2,0.0,0.8,1.526533603668213,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_3,A,$100,$50,$20,0.1,0.7,0.2,,,,1.3051440715789795,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_7,A,$100,$50,$20,0.2,0.75,0.05,,,,1.3171937465667725,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_12,A,$100,$50,$20,0.1,0.0,0.9,,,,1.5203092098236084,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_11,B,$100,$50,$20,,,,0.1,0.8,0.1,2.200927495956421,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_20,B,$100,$50,$20,,,,0.15,0.0,0.85,1.7129149436950684,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_30,B,$100,$50,$20,,,,0.05,0.75,0.2,1.6826605796813965,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_50,A,$100,$75,$20,0.5,0.3,0.2,,,,1.3791959285736084,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_17,A,$100,$50,$20,0.15,0.75,0.1,,,,5.287281274795532,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_43,A,$250,$100,$50,0.5,0.0,0.5,,,,1.3095827102661133,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_1,B,$100,$50,$20,,,,0.0,1.0,0.0,2.4225728511810303,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_1,B,$100,$50,$20,,,,0.0,1.0,0.0,2.366936445236206,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_20,A,$100,$50,$20,0.0,0.25,0.75,,,,2.617318868637085,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_23,A,$100,$50,$20,0.25,0.05,0.7,,,,1.8828651905059814,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_41,B,$250,$100,$50,,,,0.1,0.8,0.1,1.9047198295593262,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_5,B,$100,$50,$20,,,,0.8,0.0,0.2,1.2683284282684326,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_53,A,$100,$75,$20,0.65,0.35,0.0,,,,2.017653465270996,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_54,B,$100,$75,$20,,,,0.55,0.05,0.4,1.1266002655029297,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_54,A,$100,$75,$20,0.05,0.75,0.2,,,,1.9340014457702637,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_33,B,$100,$50,$20,,,,0.4,0.5,0.1,1.3681623935699463,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_21,B,$100,$50,$20,,,,0.9,0.0,0.1,2.4243836402893066,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_44,A,$250,$100,$50,0.1,0.0,0.9,,,,1.1645596027374268,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_56,A,$100,$75,$20,0.75,0.1,0.15,,,,2.0979409217834473,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_13,A,$100,$50,$20,0.9,0.0,0.1,,,,1.3306005001068115,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_23,A,$100,$50,$20,0.25,0.05,0.7,,,,2.173567533493042,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_31,A,$100,$50,$20,0.35,0.15,0.5,,,,1.8111085891723633,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_48,A,$250,$100,$50,0.65,0.3,0.05,,,,2.7523577213287354,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_41,A,$250,$100,$50,0.0,1.0,0.0,,,,2.1814894676208496,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_22,B,$100,$50,$20,,,,0.05,0.65,0.3,5.244619131088257,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_49,A,$100,$75,$20,0.25,0.65,0.1,,,,1.506234884262085,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_3,A,$100,$50,$20,0.1,0.7,0.2,,,,1.503037452697754,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_59,B,$50,$20,$10,,,,0.4,0.5,0.1,2.5523922443389893,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_38,A,$100,$50,$20,0.45,0.25,0.3,,,,9.265170335769653,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_24,B,$100,$50,$20,,,,0.55,0.3,0.15,1.2520678043365479,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_63,B,$50,$20,$10,,,,0.1,0.4,0.5,2.756405830383301,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_51,A,$100,$75,$20,0.5,0.3,0.2,,,,1.3778669834136963,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_39,A,$100,$50,$20,0.1,0.4,0.5,,,,2.072658061981201,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_28,A,$100,$50,$20,0.0,0.35,0.65,,,,1.8067469596862793,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_60,A,$50,$20,$10,0.0,0.25,0.75,,,,1.9220085144042969,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_40,A,$100,$50,$20,0.65,0.2,0.15,,,,1.422001600265503,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_26,A,$100,$50,$20,0.5,0.3,0.2,,,,3.217247486114502,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_48,A,$250,$100,$50,0.65,0.3,0.05,,,,1.4410438537597656,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_52,A,$100,$75,$20,0.0,0.35,0.65,,,,2.1391477584838867,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_34,A,$100,$50,$20,0.0,1.0,0.0,,,,1.4587655067443848,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_47,B,$250,$100,$50,,,,0.35,0.45,0.2,2.824214220046997,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
